datetime,solar_mwh,konya_shortwave_radiation,konya_temperature_2m,konya_cloud_cover,konya_direct_radiation,konya_precipitation,konya_wind_speed_10m,gaziantep_shortwave_radiation,gaziantep_temperature_2m,gaziantep_cloud_cover,gaziantep_direct_radiation,gaziantep_precipitation,gaziantep_wind_speed_10m,izmir_shortwave_radiation,izmir_temperature_2m,izmir_cloud_cover,izmir_direct_radiation,izmir_precipitation,izmir_wind_speed_10m,date,year,month,day,hour,day_of_year,week,weekday,avg_shortwave_radiation,avg_cloud_cover,avg_temperature_2m,avg_direct_radiation,avg_precipitation,avg_wind_speed_10m
2022-01-01 00:00:00+03:00,0.0,0.0,0.15850002,6.0,0.0,0.0,1.3341664,0.0,3.3325,100.0,0.0,0.0,2.0248458,0.0,9.030499,0.0,0.0,0.0,1.7117243,2022-01-01,2022,1,1,0,1,52,5,0.0,35.333332,4.1738334,0.0,0.0,1.6902455
2022-01-01 01:00:00+03:00,0.0,0.0,0.30850002,2.0,0.0,0.0,1.4560219,0.0,2.9825,100.0,0.0,0.0,2.236068,0.0,8.4305,34.0,0.0,0.0,1.5231546,2022-01-01,2022,1,1,1,1,52,5,0.0,45.333332,3.9071667,0.0,0.0,1.7384149
2022-01-01 02:00:00+03:00,0.0,0.0,0.30850002,0.0,0.0,0.0,1.2369317,0.0,3.1325,100.0,0.0,0.0,2.376973,0.0,8.0805,26.0,0.0,0.0,1.2529964,2022-01-01,2022,1,1,2,1,52,5,0.0,42.0,3.8404999,0.0,0.0,1.6223003
2022-01-01 03:00:00+03:00,0.0,0.0,-0.24149996,0.0,0.0,0.0,1.360147,0.0,4.0325,100.0,0.0,0.0,3.4,0.0,7.6805,91.0,0.0,0.0,2.0099752,2022-01-01,2022,1,1,3,1,52,5,0.0,63.666668,3.8238335,0.0,0.0,2.2567074
2022-01-01 04:00:00+03:00,0.0,0.0,0.35850003,11.0,0.0,0.0,0.8544004,0.0,3.8825,99.0,0.0,0.0,3.757659,0.0,7.5305,98.0,0.0,0.0,1.5,2022-01-01,2022,1,1,4,1,52,5,0.0,69.333336,3.9238331,0.0,0.0,2.0373533
2022-01-01 05:00:00+03:00,0.0,0.0,0.00850004,35.0,0.0,0.0,0.7615773,0.0,3.6325,91.0,0.0,0.0,3.847077,0.0,7.4305,15.0,0.0,0.0,1.6,2022-01-01,2022,1,1,5,1,52,5,0.0,47.0,3.6905,0.0,0.0,2.0695512
2022-01-01 06:00:00+03:00,2.42,0.0,-0.49150002,33.0,0.0,0.0,0.6708204,0.0,3.1825001,100.0,0.0,0.0,3.733631,0.0,7.0305,0.0,0.0,0.0,1.360147,2022-01-01,2022,1,1,6,1,52,5,0.0,44.333332,3.2405002,0.0,0.0,1.9215328
2022-01-01 07:00:00+03:00,14.31,0.0,-0.5914999,0.0,0.0,0.0,0.53851646,0.0,3.0325,100.0,0.0,0.0,4.3863425,0.0,7.1305,0.0,0.0,0.0,1.3152945,2022-01-01,2022,1,1,7,1,52,5,0.0,33.333332,3.1905,0.0,0.0,2.0800512
2022-01-01 08:00:00+03:00,73.23,0.0,-0.7415,0.0,0.0,0.0,0.44721362,1.0,3.2325,95.0,0.0,0.0,4.4407206,0.0,8.4305,20.0,0.0,0.0,1.56205,2022-01-01,2022,1,1,8,1,52,5,0.33333334,38.333332,3.6405,0.0,0.0,2.1499946
2022-01-01 09:00:00+03:00,216.47,38.0,0.9085,14.0,20.0,0.0,0.5,43.0,3.4825,100.0,7.0,0.0,4.2059484,8.0,7.0305,77.0,2.0,0.0,1.7492856,2022-01-01,2022,1,1,9,1,52,5,29.666666,63.666668,3.8071668,9.666667,0.0,2.1517446
2022-01-01 10:00:00+03:00,414.83,179.0,3.7585,6.0,120.0,0.0,0.14142136,124.0,4.2324996,100.0,31.0,0.0,4.614109,94.0,9.5805,12.0,41.0,0.0,1.104536,2022-01-01,2022,1,1,10,1,52,5,132.33333,39.333332,5.8571663,64.0,0.0,1.9533554
