dataset,n_train,n_test,n_timepoints,n_classes,our_accuracy,paper_accuracy,difference,train_time_s,test_time_s
ItalyPowerDemand,67,1029,24,2,0.9631,0.9718,-0.0087,3.375,0.066
SyntheticControl,300,300,60,6,0.98,0.9933,-0.0133,2.244,0.029
Wafer,1000,6164,152,2,0.9976,0.9996,-0.002,5.946,0.729
FaceAll,560,1690,131,14,0.7876,0.8337,-0.0461,4.896,0.207
ECG200,100,100,96,2,0.92,0.89,0.03,3.368,0.013
Plane,105,105,144,7,1.0,1.0,0.0,5.03,0.016
Beef,30,30,470,5,0.8333,0.7667,0.0666,4.844,0.013
Coffee,28,28,286,2,1.0,1.0,0.0,2.786,0.01
OliveOil,30,30,570,4,0.9333,0.8667,0.0666,5.705,0.014
Trace,100,100,275,4,1.0,1.0,0.0,9.394,0.028
